famille,symbole,candidats,trades,R_moyen,IC95,taux_reussite,drawdown_R,taux_ambigu,R_cout_majore,bat_hasard,p_value,portes_franchies,gate,echecs,q_value,survit_correction
seance_derive,NAS100,1033,1029,-0.1871,"(-0.2707, -0.1025)",0.309,-201.83,0.0253,-0.2423,0.155,0.845771144278607,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9482001755926253,False
opening_range,NAS100,1010,932,0.0933,"(0.0014, 0.1849)",0.383,-22.987,0.0054,0.0751,0.99,0.014925373134328358,5,True,,0.32238805970149254,False
fin_de_mois,NAS100,169,169,-0.1515,"(-0.3582, 0.0616)",0.3195,-30.294,0.0118,-0.2065,0.235,0.7661691542288557,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9482001755926253,False
momentum_conditionne,NAS100,440,404,-0.0168,"(-0.1518, 0.1206)",0.3416,-21.832,0.0074,-0.0348,0.605,0.39800995024875624,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8656716417910447,False
compression_expansion,NAS100,280,274,0.1451,"(-0.0269, 0.3217)",0.4015,-16.618,0.0,0.1154,0.975,0.029850746268656716,4,False,IC_exclut_0,0.32238805970149254,False
repli_de_tendance,NAS100,407,387,-0.0183,"(-0.158, 0.1196)",0.3488,-32.146,0.0,-0.0362,0.46,0.5422885572139303,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.86796785304248,False
retour_vwap,NAS100,670,640,-0.0798,"(-0.1875, 0.0278)",0.3219,-71.676,0.0047,-0.0978,0.145,0.8557213930348259,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9482001755926253,False
gap_ouverture,NAS100,213,213,-0.081,"(-0.2709, 0.1115)",0.338,-22.17,0.0094,-0.1247,0.66,0.34328358208955223,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8238805970149253,False
fade_range_asiatique,NAS100,1008,778,-0.0456,"(-0.1472, 0.055)",0.3548,-55.374,0.0141,-0.0999,0.965,0.03980099502487562,2,False,"R_positif, IC_exclut_0, robuste_au_cout",0.32238805970149254,False
smc_choch,NAS100,282,277,-0.1341,"(-0.2963, 0.0288)",0.3141,-55.002,0.0144,-0.1629,0.21,0.7910447761194029,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9482001755926253,False
smc_bos,NAS100,353,348,0.1293,"(-0.0218, 0.2848)",0.3908,-18.489,0.0057,0.1082,0.975,0.029850746268656716,4,False,IC_exclut_0,0.32238805970149254,False
smc_balayage,NAS100,817,666,-0.1194,"(-0.2252, -0.0128)",0.3108,-86.4,0.012,-0.1384,0.02,0.9800995024875622,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9800995024875623,False
smc_fvg,NAS100,1354,991,-0.0687,"(-0.1553, 0.0197)",0.336,-84.678,0.0081,-0.1024,0.435,0.5671641791044776,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.86796785304248,False
microstructure_liquidite,NAS100,849,740,0.048,"(-0.0569, 0.1507)",0.3649,-19.803,0.0054,0.0262,0.945,0.05970149253731343,3,False,"IC_exclut_0, bat_hasard",0.3326226012793177,False
