famille,symbole,candidats,trades,R_moyen,IC95,taux_reussite,drawdown_R,taux_ambigu,R_cout_majore,bat_hasard,p_value,portes_franchies,gate,echecs,q_value,survit_correction
microstructure_choc,NAS100,13,12,-0.2896,"(-1.0297, 0.4603)",0.25,-3.259,0.0,-0.3094,0.375,0.6268656716417911,0,False,"echantillon_suffisant, R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.86796785304248,False
lead_lag[XAUUSD]+,NAS100,1309,1128,-0.049,"(-0.13, 0.0331)",0.3422,-71.371,0.0098,-0.0824,0.57,0.43283582089552236,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8656716417910447,False
lead_lag[XAUUSD]-,NAS100,1309,1114,-0.0608,"(-0.1432, 0.0227)",0.3357,-70.441,0.0072,-0.0942,0.575,0.42786069651741293,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8656716417910447,False
divergence_correlation[XAUUSD],NAS100,251,204,-0.0094,"(-0.2057, 0.1881)",0.3529,-24.762,0.0098,-0.041,0.74,0.263681592039801,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.678038379530917,False
seance_derive,XAUUSD,2063,2035,-0.1042,"(-0.1653, -0.0414)",0.3332,-230.201,0.0123,-0.1524,0.49,0.5124378109452736,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.86796785304248,False
opening_range,XAUUSD,1608,1432,-0.1262,"(-0.1981, -0.0533)",0.3296,-186.569,0.0084,-0.1751,0.38,0.6218905472636815,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.86796785304248,False
fin_de_mois,XAUUSD,333,331,-0.0734,"(-0.2224, 0.081)",0.3444,-27.824,0.003,-0.1218,0.79,0.21393034825870647,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.5924225028702641,False
momentum_conditionne,XAUUSD,601,551,-0.1307,"(-0.2449, -0.0149)",0.3249,-76.102,0.0036,-0.1764,0.4,0.6019900497512438,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.86796785304248,False
compression_expansion,XAUUSD,133,133,-0.0923,"(-0.3309, 0.1486)",0.3459,-25.283,0.0,-0.1516,0.51,0.4925373134328358,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.86796785304248,False
repli_de_tendance,XAUUSD,739,680,-0.2305,"(-0.333, -0.1295)",0.3,-162.823,0.0088,-0.28,0.035,0.9651741293532339,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9800995024875623,False
retour_vwap,XAUUSD,1068,999,-0.1425,"(-0.2266, -0.0557)",0.3213,-147.04,0.01,-0.1894,0.22,0.7810945273631841,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9482001755926253,False
gap_ouverture,XAUUSD,171,170,0.0507,"(-0.1611, 0.2642)",0.4118,-14.619,0.0235,-0.014,0.96,0.04477611940298507,3,False,"IC_exclut_0, robuste_au_cout",0.32238805970149254,False
fade_range_asiatique,XAUUSD,2147,1744,-0.0752,"(-0.1412, -0.0095)",0.3446,-135.837,0.0178,-0.1256,0.82,0.18407960199004975,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.5924225028702641,False
smc_choch,XAUUSD,509,496,-0.1816,"(-0.3025, -0.0619)",0.3165,-111.493,0.006,-0.2333,0.125,0.8756218905472637,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9482001755926253,False
smc_bos,XAUUSD,506,498,-0.0114,"(-0.1354, 0.115)",0.3675,-46.236,0.006,-0.0622,0.94,0.06467661691542288,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.3326226012793177,False
smc_balayage,XAUUSD,1233,970,-0.1217,"(-0.2087, -0.0344)",0.333,-138.361,0.0093,-0.1678,0.42,0.582089552238806,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.86796785304248,False
smc_fvg,XAUUSD,2497,1732,-0.1496,"(-0.2129, -0.0848)",0.3222,-282.309,0.0087,-0.2002,0.105,0.8955223880597015,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9482001755926253,False
microstructure_liquidite,XAUUSD,1322,1189,-0.0545,"(-0.1333, 0.0285)",0.3516,-80.375,0.0042,-0.1026,0.9,0.1044776119402985,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.417910447761194,False
microstructure_choc,XAUUSD,1153,1111,-0.073,"(-0.1569, 0.0095)",0.3519,-109.485,0.0018,-0.1309,0.9,0.1044776119402985,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.417910447761194,False
lead_lag[NAS100]+,XAUUSD,1370,1098,-0.0659,"(-0.1472, 0.0183)",0.3452,-80.728,0.0055,-0.1102,0.885,0.11940298507462686,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.4298507462686567,False
lead_lag[NAS100]-,XAUUSD,1370,1128,-0.1446,"(-0.2241, -0.0647)",0.3165,-179.78,0.0044,-0.1887,0.24,0.7611940298507462,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9482001755926253,False
divergence_correlation[NAS100],XAUUSD,252,194,-0.0322,"(-0.2282, 0.167)",0.366,-22.668,0.0052,-0.0768,0.805,0.19900497512437812,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.5924225028702641,False
